algorithm,run,seed,noise_label,best_true_f,best_observed_f,x1,x2,feasible,evaluations,param_initial_temp,param_cooling_rate,param_step_size,param_min_temp,param_population_size,param_elite_fraction,param_crossover_rate,param_mutation_step,param_mutation_decay,param_min_mutation_step,param_tournament_size,param_initial_step,param_min_step,param_base_samples,param_max_samples,param_ambiguity_z
GA,39,20399956,hetero,-0.6171703464062612,-1.2305534161279792,0.8780943181128119,0.4784875844763328,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,39,20499959,hetero,-0.69639093889527,-1.1156644891719947,0.8624861062548383,0.5029888915759037,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,40,20300962,hetero,-0.6679260279320594,-1.3718161993848268,0.8696420273459932,0.49368283773446175,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,40,20400965,hetero,-0.7035080667024244,-1.371004560724963,0.8277098817425933,0.5611562631439322,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,40,20500968,hetero,-0.7129768559908132,-1.2461485580940654,0.8579407081142093,0.5137487142178451,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,41,20301971,hetero,-0.7290979855729478,-1.299792109289804,0.8419638487103656,0.5395339446826571,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,41,20401974,hetero,-0.7118276152590233,-1.3581163876617164,0.8307444422249459,0.5566539964038375,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,41,20501977,hetero,-0.6373997609413156,-1.120290540095683,0.7928657026203019,0.5499044702902978,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,42,20302980,hetero,-0.7027755064966407,-1.4821949944155033,0.8274657945351077,0.5615161252131438,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,42,20402983,hetero,-0.7298066419050437,-1.2928514742502097,0.8439823839997835,0.5363708935969976,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,42,20502986,hetero,-0.7078931666254267,-1.0278246150939778,0.8511124049411187,0.4946519046636566,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,43,20303989,hetero,-0.6446327890094908,-1.362797915667867,0.7979594118242697,0.5596365635976163,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,43,20403992,hetero,-0.7042172664405608,-1.4134998274186166,0.8299346966711145,0.4871001074754001,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,43,20503995,hetero,-0.7294567964596459,-1.172117021245784,0.8469275844464788,0.5317082533717645,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,44,20304998,hetero,-0.621923168271499,-1.2301316809039065,0.8773991966660946,0.4797610339426201,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,44,20405001,hetero,-0.7192199334882436,-1.2765724106319865,0.8340705155461344,0.5516578424137607,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,44,20505004,hetero,-0.703630672474264,-1.0853343849795767,0.8161681588240205,0.500487218222918,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,45,20306007,hetero,-0.7289233237894036,-1.3138916708246002,0.8416562268941608,0.5400136995764876,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,45,20406010,hetero,-0.7171606198455773,-1.4510669714012006,0.8330558129379091,0.5531889483082245,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
